CustomerID,Recency,Frequency,Monetary,ChurnRisk
12346.0,326,1,77183.6,High Risk
12347.0,2,7,4310.0,Low Risk
12348.0,75,4,1797.24,Low Risk
12349.0,19,1,1757.55,Low Risk
12350.0,310,1,334.4,High Risk
12352.0,36,8,2506.04,Low Risk
12353.0,204,1,89.0,High Risk
12354.0,232,1,1079.4,High Risk
12355.0,214,1,459.4,High Risk
12356.0,23,3,2811.43,Low Risk
12357.0,33,1,6207.67,Low Risk
12358.0,2,2,1168.06,Low Risk
12359.0,58,4,6372.58,Low Risk
12360.0,52,3,2662.06,Low Risk
12361.0,287,1,189.9,High Risk
12362.0,3,10,5226.23,Low Risk
12363.0,110,2,552.0,Low Risk
12364.0,8,4,1313.1,Low Risk
12365.0,291,2,641.38,Low Risk
12367.0,4,1,168.9,Low Risk
12370.0,51,4,3545.69,Low Risk
12371.0,45,2,1887.96,Low Risk
12372.0,72,3,1298.04,Low Risk
12373.0,311,1,364.6,High Risk
12374.0,25,1,742.9300000000001,Low Risk
12375.0,11,2,457.5,Low Risk
12377.0,315,2,1628.12,Low Risk
12378.0,130,1,4008.62,High Risk
12379.0,82,2,852.24,Low Risk
12380.0,22,4,2724.81,Low Risk
12381.0,5,5,1845.31,Low Risk
12383.0,185,5,1850.56,Low Risk
12384.0,29,2,585.27,Low Risk
12386.0,338,2,401.9,Low Risk
12388.0,16,6,2780.66,Low Risk
12390.0,80,1,549.84,Low Risk
12391.0,22,1,460.89,Low Risk
12393.0,72,4,1582.6000000000001,Low Risk
12394.0,64,2,1272.48,Low Risk
12395.0,19,12,3018.63,Low Risk
12397.0,36,2,2409.9,Low Risk
12398.0,46,1,1635.6599999999999,Low Risk
12399.0,119,4,1108.65,Low Risk
12401.0,303,1,84.3,High Risk
12402.0,323,1,225.6,High Risk
12403.0,50,1,427.7,Low Risk
12405.0,149,1,1710.39,High Risk
12406.0,22,2,3415.3,Low Risk
12407.0,50,5,1708.1200000000001,Low Risk
12408.0,33,5,2888.55,Low Risk
12409.0,79,3,11072.67,Low Risk
12410.0,309,2,693.3299999999999,Low Risk
12412.0,75,3,1226.88,Low Risk
12413.0,67,3,758.1,Low Risk
12414.0,217,3,562.41,Low Risk
12415.0,24,21,124914.53,Low Risk
12417.0,3,9,3649.1,Low Risk
12418.0,113,1,668.58,High Risk
12420.0,64,1,600.39,Low Risk
12421.0,16,4,807.04,Low Risk
12422.0,96,3,803.5600000000001,Low Risk
12423.0,1,8,1859.31,Low Risk
12424.0,163,2,1760.96,Low Risk
12425.0,78,1,777.2,Low Risk
12426.0,195,1,582.73,High Risk
12427.0,22,3,825.8,Low Risk
12428.0,26,9,7956.46,Low Risk
12429.0,9,4,3750.4,Low Risk
12430.0,43,1,256.4,Low Risk
12431.0,36,15,6487.45,Low Risk
12432.0,43,5,5059.32,Low Risk
12433.0,1,7,13375.87,Low Risk
12434.0,85,2,806.14,Low Risk
12435.0,80,2,7829.89,Low Risk
12436.0,100,1,509.01,High Risk
12437.0,2,18,4951.41,Low Risk
12438.0,14,2,2906.85,Low Risk
12441.0,367,1,173.55,High Risk
12442.0,3,1,172.06,Low Risk
12444.0,21,5,5005.46,Low Risk
12445.0,22,1,133.4,Low Risk
12446.0,58,1,1002.3100000000001,Low Risk
12447.0,243,1,476.49,High Risk
12448.0,44,1,449.45,Low Risk
12449.0,22,4,4067.29,Low Risk
12450.0,156,2,197.88,Low Risk
12451.0,11,5,9035.52,Low Risk
12452.0,17,2,430.57,Low Risk
12453.0,134,1,707.09,High Risk
12454.0,56,1,3528.34,Low Risk
12455.0,73,6,2466.86,Low Risk
12456.0,44,3,3181.04,Low Risk
12457.0,66,7,2363.23,Low Risk
12458.0,71,2,947.4,Low Risk
12461.0,94,2,826.88,Low Risk
12462.0,19,2,1189.59,Low Risk
12463.0,53,4,1344.78,Low Risk
12464.0,10,8,1212.05,Low Risk
12465.0,17,2,742.1899999999999,Low Risk
12468.0,188,2,729.5400000000001,Low Risk
12471.0,2,30,19824.05,Low Risk
12472.0,32,7,6572.11,Low Risk
12473.0,29,5,3938.5499999999997,Low Risk
12474.0,17,18,7375.79,Low Risk
12475.0,54,1,723.38,Low Risk
12476.0,16,11,6816.42,Low Risk
12477.0,23,6,13219.74,Low Risk
12478.0,4,1,680.99,Low Risk
12479.0,11,1,527.2,Low Risk
12480.0,28,4,3281.63,Low Risk
12481.0,23,10,5596.32,Low Risk
12483.0,17,8,2484.98,Low Risk
12484.0,33,6,4541.72,Low Risk
12488.0,10,3,1298.66,Low Risk
12489.0,336,1,334.93,High Risk
12490.0,5,10,5417.93,Low Risk
12491.0,39,1,460.40000000000003,Low Risk
12492.0,63,2,263.21000000000004,Low Risk
12493.0,166,2,433.74,Low Risk
12494.0,16,7,1246.1000000000001,Low Risk
12497.0,82,1,1043.1,Low Risk
